,Topic,Words
0,0,pizza get like money know work time last one going back food go much day right little give two need feel good home people first kind love week family night still enough job year way today days take think account left car working bit nice couple things month use friend lot see looking living old bank bad hours forward tomorrow house great school keep post thought nothing place hope best eating life card thing past due say well order gift making meal let free story thanks husband college found dinner check rent request small reading might three person wife girlfriend
1,18,job get pizza last money food first week back time two one past love living month go like work going days rent left right know working looking much day paycheck couple forward enough start little three need due give year use found eating good unemployment school apartment kind bit interview still things account car nice hours let lot today end half old people wife phone check home family keep take rice nothing see gas luck friend college great move bank place feel life well thought think better tonight cash mother small making return least way part finding run offer girlfriend
2,11,pizza get like money last know food love one right two work back time week much picture give little going use need bank forward go account days kind college job way first found card home working today still day hours good friend offer return couple draw cat think tomorrow take feel nothing order local see left cash bit night post house free place look well might name request due thought people eating dinner month school small great looking tonight dog hope student girlfriend nice past let family means making proof thing keep enough things check sort better feed lot mind
3,1,forward get pizza money love last back promise food one work much right week go job like need time check paycheck going kind left home day little days two year nothing use first old month today account give still good college people working bank looking tomorrow bit car craving enough cash night hours meal rent things know school post girlfriend end found friend bad due thought funds eating family card take couple sob way budget till feel lot part feeling rough rice hope life thanks pie nice gas guy past free crazy thing stress course better surprise story place think
4,5,food money get pizza last house little back go two days one like family need going much eating work left today enough week living right love day friend time bank know nice give kind job due month till way couple home looking place rent card first dog bit account apartment use paycheck old people check past good tonight take mother low still year night run stay leave working hospital move feed tomorrow store nothing gas dinner lot forward three may date order roommate name surprise think story rice see cash thought girlfriend weekend small guy let town car end cold
5,6,pizza tonight get love food like dinner one tomorrow money go know night work need time family going much two account last back month bank first use give nothing job home good week husband nice car meal surprise great house enough working still day days least due right forward past return looking feed friend kind left wife little think order bad running old sick apartment extra today three roommate year living card feeling cash student well son verification giving daughter till might care keep grocery take hope empty thanks couple game bit lot offer weekend worth small payday soul proof
6,19,college student pizza get money love last much food time work job like right going living enough forward one year looking kind couple go give day little know working first back way school past use two days summer home today old month account good need week people post apartment great meal story friend paycheck tonight due cash night eating let study end still feed tomorrow part loan life things rest bit family move roommate name free think delicious lot rice whole real run tuition dinner sob start funds check dollar brother soul order bank final take best reading community site
7,4,love pizza get money work right back much go day one food two like time tomorrow last forward give first kind great job sob good little going home family working still people eating year feed feeling nothing see cash couple nice past pick due house girl looking think need enough night post pie helping school till birthday meal idea surprise story keep pepperoni cheese delicious friend rice bad reading treat student thought thanks real know old dinner offer sick sitting account leave giving let today share end found given free card advance ate days way show husband things week take
8,17,pizza use right money get food much like go last one know two work day today craving time kind need thanks forward love house week left back little take enough thought couple sick account hours order first cheer sob girlfriend place going job old nice give thing good name found friend boyfriend rent college due student night home hate working share end bank days times tomorrow stomach say bad well bit eating post nothing month apartment great family posting year living feeling check see whole cash running keep paycheck save dinner lot funds helping weekend wife worth cook team guy
9,8,get pizza forward money food friday last back till work two like time love much one right go car good kind enough week account use give bank need paycheck left night little way promise story home check past day first things wife house rent payday days going job gas know dinner family return meal tomorrow nothing favor thought couple living due tonight college reading cash school three thing lunch delicious friend feeling yesterday student butter mother old sob month peanut guy access working today short think still roommate bread pantry year looking card feel funds person pie sick nice weekend
